ASPECT	VALUE	TYPE	SUPERCLASS	DOLCE
CONTENT#EVENT	1901-1910 (Édouard VII)	subject_times	Abstract	Abstract
CONTENT#EVENT	1949-1976 Mao's Cultural Revolution	subject_times	Person	Person
CONTENT#EVENT	20th edition to be out in 2020. released approx every 4 yrs	subject_times	Event	Event
CONTENT#EVENT	6th grade 2018	subject_times	InformationObject	
CONTENT#EVENT	Age of Discovery	age	InformationObject	
CONTENT#EVENT	Age of Exploration	subject_times	InformationObject	
CONTENT#EVENT	American Civil War	subject_times	Event	Event
CONTENT#EVENT	American Civil War	war	Event	Event
CONTENT#EVENT	Ancient Greece	subject_times	Quality	Quality
CONTENT#EVENT	Ancient India	subject_times	Quality	Quality
CONTENT#EVENT	Ancient Times	subject_times	TimeInterval	TimeInterval
CONTENT#EVENT	Around 1827	subject_times	Abstract	Abstract
CONTENT#EVENT	Autumn and winter 1533	subject_times	Abstract	Abstract
CONTENT#EVENT	B.C. 510-30, Republic	subject_times	Abstract	Abstract
CONTENT#EVENT	Biblical Times	subject_times	TimeInterval	TimeInterval
CONTENT#EVENT	British occupation, 1765-1947	subject_times	Event	Event
CONTENT#EVENT	Bronze Age	subject_times	InformationObject	
CONTENT#EVENT	Charles I, 1625-1649	subject_times	Abstract	Abstract
CONTENT#EVENT	Charles II, 1660-1685	subject_times	Abstract	Abstract
CONTENT#EVENT	Christmas	subject_times	Abstract	Abstract
CONTENT#EVENT	Chʻing dynasty, 1644-1912	subject_times	Collection	Collection
CONTENT#EVENT	Civil War, 1861-1865	subject_times	Event	Event
CONTENT#EVENT	Civil War, 43-31 B.C.	subject_times	Event	Event
CONTENT#EVENT	Civil War, 49-45 B.C.	subject_times	Event	Event
CONTENT#EVENT	Consulate and First Empire, 1799-1815	subject_times	Abstract	Abstract
CONTENT#EVENT	Contemporary	subject_times	Person	Person
CONTENT#EVENT	Cultural Revolution, 1966-1976	subject_times	Event	Event
CONTENT#EVENT	Current time	subject_times	TimeInterval	TimeInterval
CONTENT#EVENT	Dawn of time-Roman antiquity	subject_times	Event	Event
CONTENT#EVENT	Early 2000s	subject_times	Quality	Quality
CONTENT#EVENT	Early church, ca. 30-600	subject_times	PhysicalObject	PhysicalObject
CONTENT#EVENT	Early modern and Elizabethan, 1500-1600	subject_times	Quality	Quality
CONTENT#EVENT	Early modern, 1500-1700	subject_times	Event	Event
CONTENT#EVENT	Early works to 1700	subject_times	Event	Event
CONTENT#EVENT	Early works to 1800	subject_times	Event	Event
CONTENT#EVENT	Early works to 1880	subject_times	Event	Event
CONTENT#EVENT	Early works to 1900	subject_times	Event	Event
CONTENT#EVENT	Edward IV, 1461-1483	subject_times	Person	Person
CONTENT#EVENT	Edward VII, 1901-1910	subject_times	Person	Person
CONTENT#EVENT	Empire, 30 B.C.-284 A.D	subject_times	Abstract	Abstract
CONTENT#EVENT	Empire, 30 B.C.-284 A.D.	subject_times	Abstract	Abstract
CONTENT#EVENT	Empire, 30 B.C.-476 A.D	subject_times	Abstract	Abstract
CONTENT#EVENT	Empire, 30 B.C.-476 A.D.	subject_times	Abstract	Abstract
CONTENT#EVENT	Eruption, 79	subject_times	Event	Event
CONTENT#EVENT	Ethical Aspects	subject_times	Event	Event
CONTENT#EVENT	European intervention, 1861-1867	subject_times	Event	Event
CONTENT#EVENT	Everyman's Library Classics	subject_times	Person	Person
CONTENT#EVENT	Fictional pre-history	subject_times	InformationEntity	InformationEntity
CONTENT#EVENT	First Age	subject_times	InformationObject	
CONTENT#EVENT	First, 1096-1099	subject_times	Event	Event
CONTENT#EVENT	Flavians, 69-96	subject_times	Person	Person
CONTENT#EVENT	Franco-Prussian war	subject_times	Event	Event
CONTENT#EVENT	French Revolution	subject_times	Event	Event
CONTENT#EVENT	French Revolution, 1789-1799	subject_times	Event	Event
CONTENT#EVENT	French and Indian War, 1754-1763	subject_times	Event	Event
CONTENT#EVENT	French and Indian War, 1755-1763	subject_times	Event	Event
CONTENT#EVENT	Future	subject_times	TimeInterval	TimeInterval
CONTENT#EVENT	German occupation, 1940-1945	subject_times	Event	Event
CONTENT#EVENT	Germanic Invations, 3rd-6th centuries	subject_times	Event	Event
CONTENT#EVENT	Germanic invasions, 3rd-6th centuries	subject_times	Event	Event
CONTENT#EVENT	Great Depression	historical period	Abstract	Abstract
CONTENT#EVENT	Hiking the Appalachian Trail	subject_times	Event	Event
CONTENT#EVENT	In the Future	subject_times	TimeInterval	TimeInterval
CONTENT#EVENT	Invasion of Russia	subject_times	Event	Event
CONTENT#EVENT	Invasion of Russia, 1812	subject_times	Event	Event
CONTENT#EVENT	Ionian Revolt, 499-494 B.C.	subject_times	Event	Event
CONTENT#EVENT	Irish Revival	subject_times	Abstract	Abstract
CONTENT#EVENT	Ivy Day	subject_times	Person	Person
CONTENT#EVENT	Just before World War I.	subject_times	Event	Event
CONTENT#EVENT	Late 1800's	subject_times	Quality	Quality
CONTENT#EVENT	Late 1990s	subject_times	Quality	Quality
CONTENT#EVENT	Late 19th to early 20th centuries	subject_times	Quality	Quality
CONTENT#EVENT	Late Antiquity	subject_times	Abstract	Abstract
CONTENT#EVENT	Latin Kingdom, 1099-1244	subject_times	Abstract	Abstract
CONTENT#EVENT	London, 1665	subject_times	Abstract	Abstract
CONTENT#EVENT	Mid sixties	subject_times	Abstract	Abstract
CONTENT#EVENT	Middle Ages	subject_times	InformationObject	
CONTENT#EVENT	Middle Ages 600-1500	subject_times	InformationObject	
CONTENT#EVENT	Middle Ages, 600-1500	subject_times	InformationObject	
CONTENT#EVENT	Middle English, 1100-1500	subject_times	Abstract	Abstract
CONTENT#EVENT	Middle High German, 1050-1500	subject_times	Person	Person
CONTENT#EVENT	Middle ages	subject_times	InformationObject	
CONTENT#EVENT	Modern Day	subject_times	Abstract	Abstract
CONTENT#EVENT	Modern Times	subject_times	Event	Event
CONTENT#EVENT	Modern World	subject_times	Event	Event
CONTENT#EVENT	Modern day	subject_times	Abstract	Abstract
CONTENT#EVENT	Modern day America	subject_times	Abstract	Abstract
CONTENT#EVENT	Modern day society	subject_times	Collection	Collection
CONTENT#EVENT	Modern times	subject_times	Event	Event
CONTENT#EVENT	Near Future	subject_times	Event	Event
CONTENT#EVENT	PRESENTATION OF SELF	subject_times	Person	Person
CONTENT#EVENT	Pacific Ocean	subject_times	Abstract	Abstract
CONTENT#EVENT	Past	subject_times	TimeInterval	TimeInterval
CONTENT#EVENT	Peloponnesian War, 431-404 B.C.	subject_times	Event	Event
CONTENT#EVENT	Persian Wars, 500-449 B.C.	subject_times	Event	Event
CONTENT#EVENT	Present Day	subject_times	Abstract	Abstract
CONTENT#EVENT	Present day	subject_times	Abstract	Abstract
CONTENT#EVENT	Present time	subject_times	TimeInterval	TimeInterval
CONTENT#EVENT	Qing dynasty, 1644-1912	subject_times	Collection	Collection
CONTENT#EVENT	Republic, 265-30 B.C.	subject_times	Event	Event
CONTENT#EVENT	Republic, 510-265 B.C.	subject_times	Event	Event
CONTENT#EVENT	Restoration, 1660-1700	subject_times	Event	Event
CONTENT#EVENT	Revolution	subject_times	Event	Event
CONTENT#EVENT	Revolution 1917-1921	subject_times	Event	Event
CONTENT#EVENT	Revolution, 1775-1783	subject_times	Event	Event
CONTENT#EVENT	Revolution, 1789	subject_times	Event	Event
CONTENT#EVENT	Revolution, 1789-1799	subject_times	Event	Event
CONTENT#EVENT	Revolution, 1791-1794	subject_times	Event	Event
CONTENT#EVENT	Revolution, 1917-192	subject_times	Event	Event
CONTENT#EVENT	Revolution, 1917-1921	subject_times	Event	Event
CONTENT#EVENT	Russian Revolution	subject_times	Event	Event
CONTENT#EVENT	Second World War	subject_times	Event	Event
CONTENT#EVENT	Spanish Civil War	civil war	Event	Event
CONTENT#EVENT	Spanish colony, 1540-1810	subject_times	Collection	Collection
CONTENT#EVENT	The Beginning of Time to Eternity	subject_times	Situation	Situation
CONTENT#EVENT	The End of the Third Age	subject_times	InformationObject	
CONTENT#EVENT	The First Age	subject_times	InformationObject	
CONTENT#EVENT	The French Revolution 1789-99	subject_times	Event	Event
CONTENT#EVENT	The Middle Ages or immediate post-Middle Ages.	subject_times	InformationObject	
CONTENT#EVENT	The Viking age though much more civlised than real thing.	subject_times	InformationObject	
CONTENT#EVENT	The bulk of the story is in 1942	subject_times	InformationEntity	InformationEntity
CONTENT#EVENT	The end of the third age	subject_times	InformationObject	
CONTENT#EVENT	The events of 1Q84 take place in Tokyo during a fictionalized 1984	subject_times	InformationEntity	InformationEntity
CONTENT#EVENT	The five Julii, 30 B.C.-68 A.D.	subject_times	Abstract	Abstract
CONTENT#EVENT	The future	subject_times	TimeInterval	TimeInterval
CONTENT#EVENT	The struggle among men for the affections of a single woman	subject_times	Person	Person
CONTENT#EVENT	Third, 1189-1192	subject_times	Event	Event
CONTENT#EVENT	Third-Age	subject_times	InformationObject	
CONTENT#EVENT	Timeless	subject_times	Event	Event
CONTENT#EVENT	To 146 B.C	subject_times	Abstract	Abstract
CONTENT#EVENT	To 146 B.C.	subject_times	Abstract	Abstract
CONTENT#EVENT	To 168 B.C.	subject_times	Abstract	Abstract
CONTENT#EVENT	To 332 B.C.	subject_times	Abstract	Abstract
CONTENT#EVENT	To 527	subject_times	Abstract	Abstract
CONTENT#EVENT	To 70 A.D.	subject_times	Abstract	Abstract
CONTENT#EVENT	Two strangers falling in love at first sight but there’s a huge plot twist that will enhance the story	subject_times	Event	Event
CONTENT#EVENT	Unknown	subject_times	Event	Event
CONTENT#EVENT	Victorian England, 1837-1901	subject_times	Abstract	Abstract
CONTENT#EVENT	Wars of Independence, 1810-1821	subject_times	Event	Event
CONTENT#EVENT	Wars of the Roses, 1455-1485	subject_times	Event	Event
CONTENT#EVENT	Winter 1529-Spring 1530	subject_times	Abstract	Abstract
CONTENT#EVENT	World War I	subject_times	Event	Event
CONTENT#EVENT	World War I	world war	Event	Event
CONTENT#EVENT	World War II	subject_times	Event	Event
CONTENT#EVENT	World War II	world war	Event	Event
CONTENT#EVENT	World War Two (1939-45)	subject_times	Event	Event
CONTENT#EVENT	Written and set in 1742	subject_times	Event	Event
CONTENT#EVENT	Written and set in 1895	subject_times	Event	Event
CONTENT#EVENT	Written by Agatha Christie after coming back from a winter in Egypt.	subject_times	Person	Person
CONTENT#EVENT	Written in 1913	subject_times	Event	Event
CONTENT#EVENT	and from 1948 to 1953?	subject_times	Abstract	Abstract
CONTENT#EVENT	childhood	subject_times	Person	Person
CONTENT#EVENT	discworld	subject_times	Abstract	Abstract
CONTENT#EVENT	dystopian future	subject_times	TimeInterval	TimeInterval
CONTENT#EVENT	early post-World WarI Scotland.	subject_times	Quality	Quality
CONTENT#EVENT	far future	historical period	Quality	Quality
CONTENT#EVENT	from 1802 to 1815 during Napoleon's campaign to conquer the russian empire (from Austerlitz to the coming back to France)	subject_times	Person	Person
CONTENT#EVENT	modern time	subject_times	TimeInterval	TimeInterval
CONTENT#EVENT	modern times	subject_times	Event	Event
CONTENT#EVENT	vampires and warewolf love	subject_times	Personification	Personification
CONTENT#GENRE	African-American literature	fiction genre		
CONTENT#GENRE	American realism	art movement		
CONTENT#GENRE	Christmas fiction	fiction genre		
CONTENT#GENRE	Decadent movement	literary movement		
CONTENT#GENRE	Gothic fiction	artistic theme		
CONTENT#GENRE	Great American Novel	novel genre		
CONTENT#GENRE	Holocaust literature	literary genre		
CONTENT#GENRE	LGBT literature	literary genre		
CONTENT#GENRE	Menippean satire	literary genre		
CONTENT#GENRE	Socratic dialogue	literary genre		
CONTENT#GENRE	Victorian literature	literary movement		
CONTENT#GENRE	absurdist literature	literary genre		
CONTENT#GENRE	adult comics	comic genre		
CONTENT#GENRE	adventure fiction	fiction genre		
CONTENT#GENRE	adventure novel	novel genre		
CONTENT#GENRE	alternate history	speculative/fantastic fiction genre		
CONTENT#GENRE	anthology	literary genre		
CONTENT#GENRE	anthropomorphic comic	comic genre		
CONTENT#GENRE	apocalyptic and post-apocalyptic fiction	speculative/fantastic fiction genre		
CONTENT#GENRE	autobiographical novel	novel genre		
CONTENT#GENRE	autobiography	literary genre		
CONTENT#GENRE	biography	art genre by arts form		
CONTENT#GENRE	body horror literature	literary genre		
CONTENT#GENRE	campus novel	novel genre		
CONTENT#GENRE	children's book	literary genre		
CONTENT#GENRE	children's fiction	fiction genre		
CONTENT#GENRE	children's literature	sub-set of literature		
CONTENT#GENRE	children's novel	novel genre		
CONTENT#GENRE	cloak and dagger novel	novel genre		
CONTENT#GENRE	comic novel	novel genre		
CONTENT#GENRE	coming-of-age fiction	fiction genre		
CONTENT#GENRE	confessional fiction	fiction genre		
CONTENT#GENRE	crime fiction	fiction genre		
CONTENT#GENRE	crime novel	novel genre		
CONTENT#GENRE	dark fantasy	fantasy genre		
CONTENT#GENRE	dark romance novel	novel genre		
CONTENT#GENRE	detective fiction	fiction genre		
CONTENT#GENRE	developmental novel	novel genre		
CONTENT#GENRE	dystopian fiction	science fiction genre		
CONTENT#GENRE	editorial fiction	literary genre		
CONTENT#GENRE	education novel	novel genre		
CONTENT#GENRE	epic literature	art genre by arts form		
CONTENT#GENRE	epistolary novel	novel genre		
CONTENT#GENRE	espionage novel	novel genre		
CONTENT#GENRE	experimental literature	literary genre		
CONTENT#GENRE	fable	literary genre		
CONTENT#GENRE	family saga	literary genre		
CONTENT#GENRE	fiction	art genre		
CONTENT#GENRE	fiction literature	specialty		
CONTENT#GENRE	fictional diary	literary genre		
CONTENT#GENRE	fix-up	novel genre		
CONTENT#GENRE	futuristic fiction	science fiction genre		
CONTENT#GENRE	graphic novel	literary genre		
CONTENT#GENRE	hard science fiction	science fiction genre		
CONTENT#GENRE	high fantasy	fantasy genre		
CONTENT#GENRE	high literature	sub-set of literature		
CONTENT#GENRE	historical fiction	fiction genre		
CONTENT#GENRE	historical mystery	literary genre		
CONTENT#GENRE	historical non-fiction literature	literary genre		
CONTENT#GENRE	historical novel	novel genre		
CONTENT#GENRE	historical romance	novel genre		
CONTENT#GENRE	horror fiction	speculative/fantastic fiction genre		
CONTENT#GENRE	horror literature	art genre by arts form		
CONTENT#GENRE	horror short story	literary genre by form		
CONTENT#GENRE	humorous literature	art genre by arts form		
CONTENT#GENRE	invasion literature	literary genre		
CONTENT#GENRE	literary nonsense	literary genre		
CONTENT#GENRE	literature	class		
CONTENT#GENRE	lost world fiction	speculative/fantastic fiction genre		
CONTENT#GENRE	mathematical fiction	literary genre		
CONTENT#GENRE	memoir	literary genre		
CONTENT#GENRE	metafiction	fiction genre		
CONTENT#GENRE	military fiction	fiction genre		
CONTENT#GENRE	modernist literature	literary movement		
CONTENT#GENRE	mystery fiction	fiction genre		
CONTENT#GENRE	mystery novel	novel genre		
CONTENT#GENRE	mythology	type of world view		
CONTENT#GENRE	narration	literary form		
CONTENT#GENRE	naturalism	literary movement		
CONTENT#GENRE	nautical fiction	literary genre		
CONTENT#GENRE	non-fiction work	type of literary work		
CONTENT#GENRE	nonfiction	genre		
CONTENT#GENRE	novel of manners	novel genre		
CONTENT#GENRE	opinion journalism	journalism genre		
CONTENT#GENRE	paranormal romance	science fiction genre		
CONTENT#GENRE	philosophical fiction	fiction genre		
CONTENT#GENRE	philosophical literature	literary genre		
CONTENT#GENRE	philosophical novel	novel genre		
CONTENT#GENRE	philosophy	academic discipline		
CONTENT#GENRE	planetary romance	science fiction genre		
CONTENT#GENRE	play	type of theatrical work		
CONTENT#GENRE	poetry	academic discipline		
CONTENT#GENRE	political fiction	fiction genre		
CONTENT#GENRE	political novel	novel genre		
CONTENT#GENRE	political philosophy	branch of philosophy		
CONTENT#GENRE	postmodern literature	literary genre		
CONTENT#GENRE	psychological fiction	fiction genre		
CONTENT#GENRE	psychological horror	horror genre		
CONTENT#GENRE	psychological novel	novel genre		
CONTENT#GENRE	pulp fiction	literary genre		
CONTENT#GENRE	realist novel	novel genre		
CONTENT#GENRE	road fiction	literary genre		
CONTENT#GENRE	romance novel	novel genre		
CONTENT#GENRE	romantic fiction	fiction genre		
CONTENT#GENRE	satire	art genre		
CONTENT#GENRE	satirical fiction	fiction genre		
CONTENT#GENRE	satirical novel	novel genre		
CONTENT#GENRE	science fantasy	science fiction genre		
CONTENT#GENRE	science fiction	speculative/fantastic fiction genre		
CONTENT#GENRE	science fiction play	theatrical genre		
CONTENT#GENRE	scientific literature	literary genre		
CONTENT#GENRE	scientific romance	novel genre		
CONTENT#GENRE	sea adventure novel	novel genre		
CONTENT#GENRE	secret history	speculative/fantastic fiction genre		
CONTENT#GENRE	sensation fiction	literary genre		
CONTENT#GENRE	serialized fiction	novel genre		
CONTENT#GENRE	short novel	literary form		
CONTENT#GENRE	short story	literary form		
CONTENT#GENRE	social criticism	literary genre		
CONTENT#GENRE	social inequality	social issue		
CONTENT#GENRE	social problem fiction	literary genre		
CONTENT#GENRE	social science fiction	science fiction genre		
CONTENT#GENRE	speculative/fantastic fiction	fiction genre		
CONTENT#GENRE	speculative/fantastic fiction comedy	speculative/fantastic fiction genre		
CONTENT#GENRE	steampunk novel	novel genre		
CONTENT#GENRE	supernatural fiction	speculative/fantastic fiction genre		
CONTENT#GENRE	time-travel fiction	science fiction genre		
CONTENT#GENRE	travel literature	literary genre		
CONTENT#GENRE	travel novel	novel genre		
CONTENT#GENRE	treatise	literary form		
CONTENT#GENRE	urban fantasy	fantasy genre		
CONTENT#GENRE	utopian fiction	speculative/fantastic fiction genre		
CONTENT#GENRE	vampire fiction	horror genre		
CONTENT#GENRE	war fiction	fiction genre		
CONTENT#GENRE	war novel	novel genre		
CONTENT#GENRE	young adult fiction	fiction genre		
CONTENT#GENRE	young adult novel	novel genre		
CONTENT#MOVEMENT	Beat Generation	literary movement		
CONTENT#MOVEMENT	Romanticism	art style		
CONTENT#MOVEMENT	ancient literature	sub-set of literature		
CONTENT#MOVEMENT	existentialism	cultural movement		
CONTENT#MOVEMENT	existentialism	literary movement		
CONTENT#MOVEMENT	literary realism	literary movement		
CONTENT#MOVEMENT	modernist literature	literary movement		
CONTENT#MOVEMENT	naturalism	literary movement		
CONTENT#MOVEMENT	postmodern literature	literary genre		
CONTENT#PERIOD	000 years ago	subject_times		
CONTENT#PERIOD	12th century	subject_times		
CONTENT#PERIOD	13th century	subject_times		
CONTENT#PERIOD	14th century	century		
CONTENT#PERIOD	14th century	subject_times		
CONTENT#PERIOD	1548 - 1549 written	subject_times		
CONTENT#PERIOD	15th and 16th centuries	subject_times		
CONTENT#PERIOD	15th century	subject_times		
CONTENT#PERIOD	16th century	subject_times		
CONTENT#PERIOD	1700's- 1800's	subject_times		
CONTENT#PERIOD	17th Century	subject_times		
CONTENT#PERIOD	17th century	century		
CONTENT#PERIOD	17th century	subject_times		
CONTENT#PERIOD	1840's	subject_times		
CONTENT#PERIOD	18th Century	subject_times		
CONTENT#PERIOD	18th century	subject_times		
CONTENT#PERIOD	1900's	subject_times		
CONTENT#PERIOD	1901-1910 (Édouard VII)	subject_times		
CONTENT#PERIOD	1920's	subject_times		
CONTENT#PERIOD	1930's	subject_times		
CONTENT#PERIOD	1949-1976 Mao's Cultural Revolution	subject_times		
CONTENT#PERIOD	1950's	subject_times		
CONTENT#PERIOD	1990's	subject_times		
CONTENT#PERIOD	20th Century	subject_times		
CONTENT#PERIOD	20th Century - 1930s	subject_times		
