ASPECT	VALUE	TYPE	DOLCE
CONTENT#EVENT	from 1802 to 1815 during Napoleon's campaign to conquer the russian empire (from Austerlitz to the coming back to France)	subject_times	Person
CONTENT#EVENT	modern time	subject_times	TimeInterval
CONTENT#EVENT	modern times	subject_times	Event
CONTENT#EVENT	vampires and warewolf love	subject_times	Personification
CONTENT#GENRE	African-American literature	fiction genre	InformationEntity
CONTENT#GENRE	American realism	art movement	Topic
CONTENT#GENRE	Christmas fiction	fiction genre	Topic
CONTENT#GENRE	Decadent movement	literary movement	Topic
CONTENT#GENRE	Gothic fiction	artistic theme	Topic
CONTENT#GENRE	Great American Novel	novel genre	Topic
CONTENT#GENRE	Holocaust literature	literary genre	Topic
CONTENT#GENRE	LGBT literature	literary genre	Topic
CONTENT#GENRE	Menippean satire	literary genre	InformationEntity
CONTENT#GENRE	Socratic dialogue	literary genre	InformationEntity
CONTENT#GENRE	Victorian literature	literary movement	SocialObject
CONTENT#GENRE	absurdist literature	literary genre	Characteristic
CONTENT#GENRE	adult comics	comic genre	Characteristic
CONTENT#GENRE	adventure fiction	fiction genre	InformationEntity
CONTENT#GENRE	adventure novel	novel genre	Characteristic
CONTENT#GENRE	alternate history	speculative/fantastic fiction genre	Topic
CONTENT#GENRE	anthology	literary genre	Characteristic
CONTENT#GENRE	anthropomorphic comic	comic genre	Characteristic
CONTENT#GENRE	apocalyptic and post-apocalyptic fiction	speculative/fantastic fiction genre	Topic
CONTENT#GENRE	autobiographical novel	novel genre	Characteristic
CONTENT#GENRE	autobiography	literary genre	Characteristic
CONTENT#GENRE	biography	art genre by arts form	Characteristic
CONTENT#GENRE	body horror literature	literary genre	Characteristic
CONTENT#GENRE	campus novel	novel genre	Characteristic
CONTENT#GENRE	children's book	literary genre	Characteristic
CONTENT#GENRE	children's fiction	fiction genre	InformationEntity
CONTENT#GENRE	children's literature	sub-set of literature	Topic
CONTENT#GENRE	children's novel	novel genre	Characteristic
CONTENT#GENRE	cloak and dagger novel	novel genre	Characteristic
CONTENT#GENRE	comic novel	novel genre	Characteristic
CONTENT#GENRE	coming-of-age fiction	fiction genre	InformationEntity
CONTENT#GENRE	confessional fiction	fiction genre	InformationEntity
CONTENT#GENRE	crime fiction	fiction genre	InformationEntity
CONTENT#GENRE	crime novel	novel genre	Characteristic
CONTENT#GENRE	dark fantasy	fantasy genre	Characteristic
CONTENT#GENRE	dark romance novel	novel genre	Characteristic
CONTENT#GENRE	detective fiction	fiction genre	InformationEntity
CONTENT#GENRE	developmental novel	novel genre	Characteristic
CONTENT#GENRE	dystopian fiction	science fiction genre	InformationEntity
CONTENT#GENRE	editorial fiction	literary genre	Characteristic
CONTENT#GENRE	education novel	novel genre	Characteristic
CONTENT#GENRE	epic literature	art genre by arts form	Characteristic
CONTENT#GENRE	epistolary novel	novel genre	Characteristic
CONTENT#GENRE	espionage novel	novel genre	Characteristic
CONTENT#GENRE	experimental literature	literary genre	Characteristic
CONTENT#GENRE	fable	literary genre	InformationEntity
CONTENT#GENRE	family saga	literary genre	Characteristic
CONTENT#GENRE	fiction	art genre	Characteristic
CONTENT#GENRE	fiction literature	specialty	Topic
CONTENT#GENRE	fictional diary	literary genre	Characteristic
CONTENT#GENRE	fix-up	novel genre	Characteristic
CONTENT#GENRE	futuristic fiction	science fiction genre	InformationEntity
CONTENT#GENRE	graphic novel	literary genre	Characteristic
CONTENT#GENRE	hard science fiction	science fiction genre	InformationEntity
CONTENT#GENRE	high fantasy	fantasy genre	Characteristic
CONTENT#GENRE	high literature	sub-set of literature	InformationEntity
CONTENT#GENRE	historical fiction	fiction genre	InformationEntity
CONTENT#GENRE	historical mystery	literary genre	Characteristic
CONTENT#GENRE	historical non-fiction literature	literary genre	Characteristic
CONTENT#GENRE	historical novel	novel genre	Characteristic
CONTENT#GENRE	historical romance	novel genre	Characteristic
CONTENT#GENRE	horror fiction	speculative/fantastic fiction genre	InformationEntity
CONTENT#GENRE	horror literature	art genre by arts form	Characteristic
CONTENT#GENRE	horror short story	literary genre by form	Characteristic
CONTENT#GENRE	humorous literature	art genre by arts form	Characteristic
CONTENT#GENRE	invasion literature	literary genre	Characteristic
CONTENT#GENRE	literary nonsense	literary genre	Characteristic
CONTENT#GENRE	literature	class	Topic
CONTENT#GENRE	lost world fiction	speculative/fantastic fiction genre	Topic
CONTENT#GENRE	mathematical fiction	literary genre	Characteristic
CONTENT#GENRE	memoir	literary genre	Characteristic
CONTENT#GENRE	metafiction	fiction genre	InformationEntity
CONTENT#GENRE	military fiction	fiction genre	InformationEntity
CONTENT#GENRE	modernist literature	literary movement	SocialObject
CONTENT#GENRE	mystery fiction	fiction genre	InformationEntity
CONTENT#GENRE	mystery novel	novel genre	Characteristic
CONTENT#GENRE	mythology	type of world view	Topic
CONTENT#GENRE	narration	literary form	Characteristic
CONTENT#GENRE	naturalism	literary movement	SocialObject
CONTENT#GENRE	nautical fiction	literary genre	Characteristic
CONTENT#GENRE	non-fiction work	type of literary work	InformationEntity
CONTENT#GENRE	nonfiction	genre	Characteristic
CONTENT#GENRE	novel of manners	novel genre	Characteristic
CONTENT#GENRE	opinion journalism	journalism genre	Characteristic
CONTENT#GENRE	paranormal romance	science fiction genre	Characteristic
CONTENT#GENRE	philosophical fiction	fiction genre	Characteristic
CONTENT#GENRE	philosophical literature	literary genre	Characteristic
CONTENT#GENRE	philosophical novel	novel genre	Characteristic
CONTENT#GENRE	philosophy	academic discipline	Topic
CONTENT#GENRE	planetary romance	science fiction genre	Characteristic
CONTENT#GENRE	play	type of theatrical work	InformationEntity
CONTENT#GENRE	poetry	academic discipline	Topic
CONTENT#GENRE	political fiction	fiction genre	InformationEntity
CONTENT#GENRE	political novel	novel genre	Characteristic
CONTENT#GENRE	political philosophy	branch of philosophy	Topic
CONTENT#GENRE	postmodern literature	literary genre	Characteristic
CONTENT#GENRE	psychological fiction	fiction genre	InformationEntity
CONTENT#GENRE	psychological horror	horror genre	Characteristic
CONTENT#GENRE	psychological novel	novel genre	Characteristic
CONTENT#GENRE	pulp fiction	literary genre	Characteristic
CONTENT#GENRE	realist novel	novel genre	Characteristic
CONTENT#GENRE	road fiction	literary genre	Characteristic
CONTENT#GENRE	romance novel	novel genre	Characteristic
CONTENT#GENRE	romantic fiction	fiction genre	InformationEntity
CONTENT#GENRE	satire	art genre	Characteristic
CONTENT#GENRE	satirical fiction	fiction genre	InformationEntity
CONTENT#GENRE	satirical novel	novel genre	Characteristic
CONTENT#GENRE	science fantasy	science fiction genre	Characteristic
CONTENT#GENRE	science fiction	speculative/fantastic fiction genre	InformationEntity
CONTENT#GENRE	science fiction play	theatrical genre	Topic
CONTENT#GENRE	scientific literature	literary genre	Characteristic
CONTENT#GENRE	scientific romance	novel genre	Characteristic
CONTENT#GENRE	sea adventure novel	novel genre	Characteristic
CONTENT#GENRE	secret history	speculative/fantastic fiction genre	Topic
CONTENT#GENRE	sensation fiction	literary genre	Characteristic
CONTENT#GENRE	serialized fiction	novel genre	Characteristic
CONTENT#GENRE	short novel	literary form	Characteristic
CONTENT#GENRE	short story	literary form	Characteristic
CONTENT#GENRE	social criticism	literary genre	Topic
CONTENT#GENRE	social inequality	social issue	Concept
CONTENT#GENRE	social problem fiction	literary genre	Characteristic
CONTENT#GENRE	social science fiction	science fiction genre	Characteristic
CONTENT#GENRE	speculative/fantastic fiction	fiction genre	Characteristic
CONTENT#GENRE	speculative/fantastic fiction comedy	speculative/fantastic fiction genre	Topic
CONTENT#GENRE	steampunk novel	novel genre	Characteristic
CONTENT#GENRE	supernatural fiction	speculative/fantastic fiction genre	Topic
CONTENT#GENRE	time-travel fiction	science fiction genre	InformationEntity
CONTENT#GENRE	travel literature	literary genre	Characteristic
CONTENT#GENRE	travel novel	novel genre	Characteristic
CONTENT#GENRE	treatise	literary form	Characteristic
CONTENT#GENRE	urban fantasy	fantasy genre	Characteristic
CONTENT#GENRE	utopian fiction	speculative/fantastic fiction genre	InformationEntity
CONTENT#GENRE	vampire fiction	horror genre	Characteristic
CONTENT#GENRE	war fiction	fiction genre	InformationEntity
CONTENT#GENRE	war novel	novel genre	Characteristic
CONTENT#GENRE	young adult fiction	fiction genre	InformationEntity
CONTENT#GENRE	young adult novel	novel genre	Characteristic
CONTENT#MOVEMENT	Beat Generation	literary movement	SocialObject
CONTENT#MOVEMENT	Romanticism	art style	SocialObject
CONTENT#MOVEMENT	ancient literature	sub-set of literature	InformationEntity
CONTENT#MOVEMENT	existentialism	cultural movement	Topic
CONTENT#MOVEMENT	existentialism	literary movement	Topic
CONTENT#MOVEMENT	literary realism	literary movement	SocialObject
CONTENT#MOVEMENT	modernist literature	literary movement	SocialObject
CONTENT#MOVEMENT	naturalism	literary movement	Topic
CONTENT#MOVEMENT	postmodern literature	literary genre	SocialObject
CONTENT#PERIOD	000 years ago	subject_times	TimeInterval
CONTENT#PERIOD	12th century	subject_times	TimeInterval
CONTENT#PERIOD	13th century	subject_times	TimeInterval
CONTENT#PERIOD	14th century	century	TimeInterval
CONTENT#PERIOD	14th century	subject_times	TimeInterval
CONTENT#PERIOD	1548 - 1549 written	subject_times	TimeInterval
CONTENT#PERIOD	15th and 16th centuries	subject_times	TimeInterval
CONTENT#PERIOD	15th century	subject_times	TimeInterval
CONTENT#PERIOD	16th century	subject_times	TimeInterval
CONTENT#PERIOD	1700's- 1800's	subject_times	TimeInterval
CONTENT#PERIOD	17th Century	subject_times	TimeInterval
CONTENT#PERIOD	17th century	century	TimeInterval
CONTENT#PERIOD	17th century	subject_times	TimeInterval
CONTENT#PERIOD	1840's	subject_times	TimeInterval
CONTENT#PERIOD	18th Century	subject_times	TimeInterval
CONTENT#PERIOD	18th century	subject_times	TimeInterval
CONTENT#PERIOD	1900's	subject_times	TimeInterval
CONTENT#PERIOD	1901-1910 (Édouard VII)	subject_times	TimeInterval
CONTENT#PERIOD	1920's	subject_times	TimeInterval
CONTENT#PERIOD	1930's	subject_times	TimeInterval
CONTENT#PERIOD	1949-1976 Mao's Cultural Revolution	subject_times	TimeInterval
CONTENT#PERIOD	1950's	subject_times	TimeInterval
CONTENT#PERIOD	1990's	subject_times	TimeInterval
CONTENT#PERIOD	20th Century	subject_times	TimeInterval
CONTENT#PERIOD	20th Century - 1930s	subject_times	TimeInterval
CONTENT#PERIOD	20th Century: 1860-1918	subject_times	TimeInterval
CONTENT#PERIOD	20th century	century	TimeInterval
CONTENT#PERIOD	20th century	subject_times	TimeInterval
CONTENT#PERIOD	20th edition to be out in 2020. released approx every 4 yrs	subject_times	InformationEntity
CONTENT#PERIOD	22nd Century	subject_times	TimeInterval
CONTENT#PERIOD	6th grade 2018	subject_times	TimeInterval
CONTENT#PERIOD	Age of Discovery	age	TimeInterval
CONTENT#PERIOD	Age of Exploration	subject_times	TimeInterval
CONTENT#PERIOD	American Civil War	subject_times	Event
CONTENT#PERIOD	American Civil War	war	Event
CONTENT#PERIOD	Ancient Greece	subject_times	TimeInterval
CONTENT#PERIOD	Ancient India	subject_times	TimeInterval
CONTENT#PERIOD	Ancient Times	subject_times	TimeInterval
CONTENT#PERIOD	Anglo-Saxon period	subject_times	TimeInterval
CONTENT#PERIOD	Anglo-Saxon period, 449-1066	subject_times	TimeInterval
CONTENT#PERIOD	Around 1827	subject_times	TimeInterval
CONTENT#PERIOD	Autumn and winter 1533	subject_times	TimeInterval
CONTENT#PERIOD	B.C. 510-30, Republic	subject_times	TimeInterval
CONTENT#PERIOD	Biblical Times	subject_times	TimeInterval
CONTENT#PERIOD	British occupation, 1765-1947	subject_times	TimeInterval
CONTENT#PERIOD	Bronze Age	subject_times	TimeInterval
CONTENT#PERIOD	Charles I, 1625-1649	subject_times	TimeInterval
CONTENT#PERIOD	Charles II, 1660-1685	subject_times	TimeInterval
CONTENT#PERIOD	Christmas	subject_times	TimeInterval
CONTENT#PERIOD	Chʻing dynasty, 1644-1912	subject_times	TimeInterval
CONTENT#PERIOD	Civil War, 1861-1865	subject_times	Event
CONTENT#PERIOD	Civil War, 43-31 B.C.	subject_times	Event
CONTENT#PERIOD	Civil War, 49-45 B.C.	subject_times	Event
CONTENT#PERIOD	Classical period, 1500-1700	subject_times	TimeInterval
CONTENT#PERIOD	Colonial period, approximately 1600-1775	subject_times	TimeInterval
CONTENT#PERIOD	Colonial period, ca. 1600-1775. [from old catalog]	subject_times	TimeInterval
CONTENT#PERIOD	Consulate and First Empire, 1799-1815	subject_times	TimeInterval
CONTENT#PERIOD	Contemporary	subject_times	TimeInterval
CONTENT#PERIOD	Cultural Revolution, 1966-1976	subject_times	Event
CONTENT#PERIOD	Current time	subject_times	TimeInterval
CONTENT#PERIOD	Dawn of time-Roman antiquity	subject_times	TimeInterval
CONTENT#PERIOD	Early 19th century	subject_times	TimeInterval
CONTENT#PERIOD	Early 2000s	subject_times	TimeInterval
CONTENT#PERIOD	Early 20th century	subject_times	TimeInterval
CONTENT#PERIOD	Early church, ca. 30-600	subject_times	TimeInterval
CONTENT#PERIOD	Early modern and Elizabethan, 1500-1600	subject_times	TimeInterval
CONTENT#PERIOD	Early modern, 1500-1700	subject_times	TimeInterval
CONTENT#PERIOD	Early period, to ca. 250 B.C.	subject_times	TimeInterval
CONTENT#PERIOD	Early works to 1700	subject_times	TimeInterval
CONTENT#PERIOD	Early works to 1800	subject_times	TimeInterval
CONTENT#PERIOD	Early works to 1880	subject_times	Collection
CONTENT#PERIOD	Early works to 1900	subject_times	Collection
CONTENT#PERIOD	Edward IV, 1461-1483	subject_times	TimeInterval
CONTENT#PERIOD	Edward VII, 1901-1910	subject_times	TimeInterval
CONTENT#PERIOD	Empire, 30 B.C.-284 A.D	subject_times	TimeInterval
CONTENT#PERIOD	Empire, 30 B.C.-284 A.D.	subject_times	TimeInterval
CONTENT#PERIOD	Empire, 30 B.C.-476 A.D	subject_times	TimeInterval
CONTENT#PERIOD	Empire, 30 B.C.-476 A.D.	subject_times	TimeInterval
CONTENT#PERIOD	Eruption, 79	subject_times	Event
CONTENT#PERIOD	Ethical Aspects	subject_times	Topic
CONTENT#PERIOD	European intervention, 1861-1867	subject_times	Event
CONTENT#PERIOD	Everyman's Library Classics	subject_times	SocialObject
CONTENT#PERIOD	February Revolution, 1848	subject_times	Event
CONTENT#PERIOD	Fictional pre-history	subject_times	Event
CONTENT#PERIOD	First Age	subject_times	TimeInterval
CONTENT#PERIOD	First, 1096-1099	subject_times	TimeInterval
CONTENT#PERIOD	Flavians, 69-96	subject_times	TimeInterval
CONTENT#PERIOD	Franco-Prussian war	subject_times	Event
CONTENT#PERIOD	French Revolution	subject_times	Event
CONTENT#PERIOD	French Revolution, 1789-1799	subject_times	Event
CONTENT#PERIOD	French and Indian War, 1754-1763	subject_times	Event
CONTENT#PERIOD	French and Indian War, 1755-1763	subject_times	Event
CONTENT#PERIOD	Future	subject_times	TimeInterval
CONTENT#PERIOD	German occupation, 1940-1945	subject_times	Event
CONTENT#PERIOD	Germanic Invations, 3rd-6th centuries	subject_times	Event
CONTENT#PERIOD	Germanic invasions, 3rd-6th centuries	subject_times	Event
CONTENT#PERIOD	Great Depression	historical period	TimeInterval
CONTENT#PERIOD	Heian period, 794-1185	subject_times	TimeInterval
CONTENT#PERIOD	Hiking the Appalachian Trail	subject_times	Activity
CONTENT#PERIOD	In the Future	subject_times	TimeInterval
CONTENT#PERIOD	In the late 19th or early 20th century	subject_times	TimeInterval
CONTENT#PERIOD	Ionian Revolt, 499-494 B.C.	subject_times	Event
CONTENT#PERIOD	Irish Revival	subject_times	Topic
CONTENT#PERIOD	Ivy Day	subject_times	InformationEntity
CONTENT#PERIOD	July Revolution, 1830	subject_times	Event
CONTENT#PERIOD	June Days, 1848	subject_times	Event
CONTENT#PERIOD	Just before World War I.	subject_times	TimeInterval
CONTENT#PERIOD	Late 1800's	subject_times	TimeInterval
CONTENT#PERIOD	Late 1990s	subject_times	TimeInterval
CONTENT#PERIOD	Late 19th century	subject_times	TimeInterval
CONTENT#PERIOD	Late 19th to early 20th centuries	subject_times	TimeInterval
CONTENT#PERIOD	Late Antiquity	subject_times	TimeInterval
CONTENT#PERIOD	Latin Kingdom, 1099-1244	subject_times	TimeInterval
CONTENT#PERIOD	London, 1665	subject_times	TimeInterval
CONTENT#PERIOD	March 1869	subject_times	TimeInterval
CONTENT#PERIOD	March 1883	subject_times	TimeInterval
CONTENT#PERIOD	Mid 19th century	subject_times	TimeInterval
CONTENT#PERIOD	Mid sixties	subject_times	TimeInterval
CONTENT#PERIOD	Middle Ages	subject_times	TimeInterval
CONTENT#PERIOD	Middle Ages 600-1500	subject_times	TimeInterval
CONTENT#PERIOD	Middle English, 1100-1500	subject_times	TimeInterval
CONTENT#PERIOD	Middle High German, 1050-1500	subject_times	TimeInterval
CONTENT#PERIOD	Middle ages	subject_times	TimeInterval
CONTENT#PERIOD	Modern Day	subject_times	TimeInterval
CONTENT#PERIOD	Modern Times	subject_times	TimeInterval
CONTENT#PERIOD	Modern World	subject_times	TimeInterval
CONTENT#PERIOD	Modern day	subject_times	TimeInterval
CONTENT#PERIOD	Modern day America	subject_times	TimeInterval
CONTENT#PERIOD	Modern day society	subject_times	Description
CONTENT#PERIOD	Near Future	subject_times	TimeInterval
CONTENT#PERIOD	Norman period, 1066-1154	subject_times	TimeInterval
CONTENT#PERIOD	Now	subject_times	TimeInterval
CONTENT#PERIOD	PRESENTATION OF SELF	subject_times	Description
